epoch,lr,train_loss,train_acc,val_loss,val_acc,val_f1,actinic keratosis_F1,basal cell carcinoma_F1,dermatofibroma_F1,melanoma_F1,nevus_F1,pigmented benign keratosis_F1,seborrheic keratosis_F1,squamous cell carcinoma_F1,vascular lesion_F1
1,0.00029815325108927063,1.1444734129370475,0.35834609494640124,0.5495387792587281,0.600178624590652,0.561423256220904,0.6165137614678899,0.6174142480211082,0.76,0.52,0.6763157894736842,0.5617283950617284,0.0,0.32269503546099293,0.9781420765027322
2,0.00029265847744427303,0.5900263802129395,0.6073251659009699,0.3319338606227012,0.7418874665078893,0.713807969836389,0.7547974413646056,0.8236842105263158,0.9116161616161617,0.19004524886877827,0.7081481481481482,0.7361111111111112,0.7162426614481409,0.6012658227848101,0.9823609226594301
3,0.0002836509786282552,0.44617390127814543,0.678407350689127,0.27758093568540754,0.743673712414409,0.7079523878666978,0.8110047846889952,0.8859416445623343,0.9815789473684211,0.4014084507042254,0.005235602094240838,0.7732997481108312,0.7309875141884222,0.7983310152990264,0.9837837837837838
4,0.0002713525491562421,0.3251766911878878,0.7465543644716692,0.17382077702454157,0.8216731169991068,0.8020798417489009,0.8436724565756824,0.9436619718309859,0.979002624671916,0.256198347107438,0.718562874251497,0.8988173455978975,0.7290836653386454,0.8524590163934426,0.9972602739726028
5,0.0002560660171779821,0.22793585086355403,0.7984941296579887,0.15114510861181077,0.8490622208990771,0.8347038879038795,0.8745684695051784,0.9582772543741588,0.9625806451612903,0.41282565130260523,0.749271137026239,0.8936742934051144,0.7573221757322176,0.9065550906555091,0.9972602739726028
6,0.000238167787843871,0.187774808187874,0.8135528330781011,0.11028571983888036,0.873474248288181,0.8654924565292739,0.883054892601432,0.964332892998679,0.9959946595460614,0.5244122965641953,0.7473958333333334,0.9296551724137931,0.7921022067363531,0.9552238805970149,0.9972602739726028
7,0.00021809857496093204,0.16064202647124018,0.8358856559469117,0.08783672813858305,0.8880619231914261,0.8795211352824095,0.8917647058823529,0.9749009247027741,1.0,0.5420560747663551,0.786013986013986,0.9653333333333334,0.7947882736156352,0.9649368863955119,0.9958960328317373
8,0.00019635254915624216,0.12440641257075631,0.8597498723838694,0.08662866545575006,0.880023816612087,0.8679467662944033,0.895662368112544,0.9695290858725761,0.9815789473684211,0.45544554455445546,0.7938288920056101,0.9800266311584553,0.7666314677930306,0.9701897018970189,0.9986282578875172
9,0.00017346516975603468,0.12287294030645672,0.8579632465543645,0.07905853828858761,0.8389401607621316,0.8288650334023627,0.5734265734265734,0.984,1.0,0.49162011173184356,0.692063492063492,0.978494623655914,0.7593360995850622,0.9822161422708618,0.9986282578875172
10,0.00015000000000000001,0.11183977638732413,0.8699591628381828,0.06756278480447474,0.9074129205120571,0.9061972451723074,0.8797083839611178,0.9933065595716198,1.0,0.7155688622754491,0.7949080622347949,0.9736147757255936,0.818070818070818,0.9819694868238558,0.9986282578875172
11,0.0001265348302439654,0.09111881325287478,0.8870597243491577,0.06073952244505996,0.9139624888359631,0.9099660510211552,0.9002375296912114,0.9946380697050938,1.0,0.6724137931034483,0.8268156424581006,0.9798657718120806,0.8280542986425339,0.989041095890411,0.9986282578875172
12,0.0001036474508437579,0.07107674231638714,0.9040326697294538,0.0531466508018119,0.9246799642750819,0.9220952284289117,0.9041420118343195,0.9986541049798116,1.0,0.729064039408867,0.8316831683168316,0.9906040268456375,0.8501742160278746,0.9959072305593452,0.9986282578875172
13,8.190142503906799e-05,0.06926843098231725,0.90684022460439,0.058524163475348834,0.9306341172968146,0.9296161000155946,0.8941736028537456,0.9877551020408163,1.0,0.7981366459627329,0.84,0.9865951742627346,0.8735083532219571,0.9945504087193461,0.9918256130790191
14,6.183221215612905e-05,0.06165587664866934,0.9155181214905564,0.05210026051139548,0.9318249479011611,0.931122034263641,0.8869987849331713,0.9973045822102425,1.0,0.8140243902439024,0.8333333333333334,0.9774834437086093,0.8819277108433735,0.99039780521262,0.9986282578875172
15,4.393398282201788e-05,0.05634660284053914,0.9233027054619704,0.057478949374386246,0.9312295325989878,0.9304908251525266,0.8932038834951457,0.9959514170040485,1.0,0.8061068702290076,0.8345120226308345,0.9800266311584553,0.8755980861244019,0.9917582417582418,0.9972602739726028
16,2.86474508437579e-05,0.05027082955502734,0.9296835119959163,0.05504761226475239,0.935992855016374,0.9359483236965508,0.8737623762376238,0.9959514170040485,1.0,0.849925705794948,0.8314917127071824,0.9799732977303071,0.8992628992628993,0.9959072305593452,0.9972602739726028
17,1.6349021371744834e-05,0.04294390957802534,0.9367023991832568,0.05455088952467555,0.9401607621315868,0.9398077053896768,0.8979591836734694,0.9959514170040485,1.0,0.8460388639760837,0.8514285714285714,0.9827357237715804,0.8937728937728938,0.9931224209078404,0.9972602739726028
18,7.341522555726972e-06,0.04338230213948659,0.9386166411434406,0.05527116016795238,0.9356951473652872,0.93560409004837,0.8773234200743495,0.9973045822102425,1.0,0.844311377245509,0.837465564738292,0.9787798408488063,0.8948655256723717,0.9917582417582418,0.9986282578875172
19,1.8467489107293517e-06,0.04128018096469495,0.937850944359367,0.056591811918077016,0.9410538850848467,0.9407590474659623,0.8979591836734694,0.9959514170040485,1.0,0.8470588235294118,0.8575539568345324,0.9800266311584553,0.8992628992628993,0.9917582417582418,0.9972602739726028
20,0.0,0.040854921986405945,0.940913731495661,0.05399757048913411,0.9392676391783269,0.9390504326450171,0.8926829268292683,0.9959514170040485,1.0,0.849478390461997,0.8487394957983193,0.9774236387782205,0.898159509202454,0.9917582417582418,0.9972602739726028
21,1.8467489107293343e-06,0.03983907983543313,0.9424451250638081,0.05359618988420282,0.9389699315272403,0.938732602023905,0.8905109489051095,0.9959514170040485,1.0,0.849478390461997,0.8466947960618847,0.9787798408488063,0.898159509202454,0.9917582417582418,0.9972602739726028
22,7.341522555726937e-06,0.04203214315241393,0.9392547217968351,0.0558246068301655,0.9395653468294135,0.9391933007403966,0.8961352657004831,0.9959514170040485,1.0,0.8460388639760837,0.8486562942008486,0.9787798408488063,0.898159509202454,0.9917582417582418,0.9972602739726028
23,1.6349021371744813e-05,0.040345821392779445,0.940913731495661,0.05397371157471623,0.935992855016374,0.9360806627850189,0.871859296482412,0.9959514170040485,1.0,0.8528974739970282,0.8369565217391305,0.9787798408488063,0.8992628992628993,0.9917582417582418,0.9972602739726028
24,2.8647450843757863e-05,0.04155167990497181,0.9386166411434406,0.05365630015730858,0.9410538850848467,0.9408238125263448,0.8961352657004831,0.9959514170040485,1.0,0.8545994065281899,0.851063829787234,0.9813829787234043,0.8992628992628993,0.9917582417582418,0.9972602739726028
25,4.393398282201784e-05,0.04139607306189683,0.9401480347115876,0.051797386684588026,0.9452217922000595,0.9449764565956555,0.902291917973462,0.9959514170040485,1.0,0.8630338733431517,0.8519040902679831,0.9866310160427807,0.9104477611940298,0.9972677595628415,0.9972602739726028
26,6.183221215612901e-05,0.044492725792283916,0.9358090862685043,0.05424054312475381,0.9362905626674606,0.9360421613372059,0.8837209302325582,0.9959514170040485,1.0,0.8461538461538461,0.8385269121813032,0.984,0.8937728937728938,0.984993178717599,0.9972602739726028
27,8.190142503906795e-05,0.04724412199147806,0.9350433894844309,0.05654973989086492,0.9353974397142006,0.9350696697140766,0.8927250308261405,0.9973045822102425,0.998661311914324,0.829817158931083,0.8214804063860668,0.9879194630872483,0.8959608323133414,0.9917582417582418,1.0
28,0.00010364745084375785,0.048062036821276556,0.9349157733537519,0.05149125029288587,0.9374813932718071,0.9369349956734163,0.8984468339307049,0.9973118279569892,1.0,0.8340675477239354,0.8419497784342689,0.9826897470039947,0.8861985472154964,0.9931224209078404,0.9986282578875172
29,0.00012653483024396533,0.06532762028961157,0.9231750893312914,0.11244806246388526,0.8311997618338791,0.791980961593131,0.9047619047619048,0.9891304347826086,0.6684587813620072,0.8477611940298507,0.8510028653295129,0.974496644295302,0.9003690036900369,0.9918478260869565,0.0
30,0.00014999999999999993,0.07928180610570981,0.9116896375701888,0.06597174258813972,0.9249776719261685,0.9241019284878447,0.8918590522478737,0.9932705248990579,0.9625806451612903,0.8085106382978723,0.828060522696011,0.9733333333333334,0.8944099378881988,0.9931412894375857,0.9717514124293786
31,0.00017346516975603457,0.06029902421014041,0.925472179683512,0.05897869820750895,0.9374813932718071,0.9371363883489146,0.8985507246376812,0.9877551020408163,1.0,0.8291970802919708,0.8490028490028491,0.9865951742627346,0.898159509202454,0.9863387978142076,0.9986282578875172
